user_id,variant,basket_value
1239,control,43.00
1240,test,77.00
1241,control,29.00
1242,test,59.00
1243,control,36.00
1244,test,49.50
1245,control,17.00
1246,test,64.50
1247,control,42.50
1248,test,38.00
1249,control,63.00
1250,test,30.00
1251,control,19.50
1252,test,84.00
1253,control,29.00
1254,test,42.00
1255,control,24.00
1256,test,51.00
1257,control,41.00
1258,test,32.00
1259,control,44.00
1260,test,79.00
1261,control,29.50
1262,test,60.50
1263,control,37.00
1264,test,51.00
1265,control,17.50
1266,test,66.00
1267,control,43.50
1268,test,39.00
1269,control,64.50
1270,test,31.00
1271,control,20.00
1272,test,86.00
1273,control,29.50
1274,test,43.00
1275,control,24.50
1276,test,52.50
1277,control,42.00
1278,test,33.00
1279,control,45.00
1280,test,81.00
1281,control,30.00
1282,test,62.00
1283,control,38.00
1284,test,52.50
1285,control,18.00
1286,test,67.50
1287,control,44.50
1288,test,40.00
1289,control,66.00
1290,test,32.00
1291,control,20.50
1292,test,88.00
1293,control,30.00
1294,test,44.00
1295,control,25.00
1296,test,54.00
1297,control,43.00
1298,test,34.00
1299,control,46.00
1300,test,83.00
1301,control,30.50
1302,test,63.50
1303,control,39.00
1304,test,54.00
1305,control,18.50
1306,test,69.00
1307,control,45.50
1308,test,41.00
1309,control,67.50
1310,test,33.00
1311,control,21.00
1312,test,90.00
1313,control,30.50
1314,test,45.00
1315,control,25.50
1316,test,55.50
1317,control,44.00
1318,test,35.00
1319,control,47.00
1320,test,85.00
1321,control,31.00
1322,test,65.00
1323,control,40.00
1324,test,55.50
1325,control,19.00
1326,test,70.50
1327,control,46.50
1328,test,42.00
1329,control,69.00
1330,test,34.00
1331,control,21.50
1332,test,92.00
1333,control,31.00
1334,test,46.00
1335,control,26.00
1336,test,57.00
1337,control,45.00
1338,test,36.00
1339,control,48.00
1340,test,87.00
1341,control,31.50
1342,test,66.50
1343,control,41.00
1344,test,57.00
1345,control,19.50
1346,test,72.00
1347,control,47.50
1348,test,43.00
1349,control,70.50
1350,test,35.00
1351,control,22.00
1352,test,94.00
1353,control,31.50
1354,test,47.00
1355,control,26.50
1356,test,58.50
1357,control,46.00
1358,test,37.00
1359,control,49.00
1360,test,89.00
1361,control,32.00
1362,test,68.00
1363,control,42.00
1364,test,58.50
1365,control,20.00
1366,test,73.50
1367,control,48.50
1368,test,44.00
1369,control,72.00
1370,test,36.00
1371,control,22.50
1372,test,96.00
1373,control,32.00
1374,test,48.00
1375,control,27.00
1376,test,60.00
1377,control,47.00
1378,test,38.00
1379,control,50.00
1380,test,91.00
1381,control,32.50
1382,test,69.50
1383,control,43.00
1384,test,60.00
1385,control,20.50
1386,test,75.00
1387,control,49.50
1388,test,45.00
1389,control,73.50
1390,test,37.00
1391,control,23.00
1392,test,98.00
1393,control,32.50
1394,test,49.00
1395,control,27.50
1396,test,61.50
1397,control,48.00
1398,test,39.00
1399,control,51.00
1400,test,93.00
1401,control,33.00
1402,test,71.00
1403,control,44.00
1404,test,61.50
1405,control,21.00
1406,test,76.50
1407,control,50.50
1408,test,46.00
1409,control,75.00
1410,test,38.00
1411,control,23.50
1412,test,100.00
1413,control,33.00
1414,test,50.00
1415,control,28.00
1416,test,63.00
1417,control,49.00
1418,test,40.00
1419,control,52.00
1420,test,95.00
1421,control,33.50
1422,test,72.50
1423,control,45.00
1424,test,63.00
1425,control,21.50
1426,test,78.00
1427,control,51.50
1428,test,47.00
1429,control,76.50
1430,test,39.00
1431,control,24.00
1432,test,102.00
1433,control,33.50
1434,test,51.00
1435,control,28.50
1436,test,64.50
1437,control,50.00
1438,test,41.00
1439,control,53.00
1440,test,97.00
1441,control,34.00
1442,test,74.00
1443,control,46.00
1444,test,64.50
1445,control,22.00
1446,test,79.50
1447,control,52.50
1448,test,48.00
1449,control,78.00
1450,test,40.00
1451,control,24.50
1452,test,104.00
1453,control,34.00
1454,test,52.00
1455,control,29.00
1456,test,66.00
1457,control,51.00
1458,test,42.00
1459,control,54.00
1460,test,99.00
1461,control,34.50
1462,test,75.50
1463,control,47.00
1464,test,66.00
1465,control,22.50
1466,test,81.00
1467,control,53.50
1468,test,49.00
1469,control,79.50
1470,test,41.00
1471,control,25.00
1472,test,106.00
1473,control,34.50
1474,test,53.00
1475,control,29.50
1476,test,67.50
1477,control,52.00
1478,test,43.00
1479,control,55.00
1480,test,101.00
1481,control,35.00
1482,test,77.00
1483,control,48.00
1484,test,67.50
1485,control,23.00
1486,test,82.50
1487,control,54.50
1488,test,50.00
1489,control,81.00
1490,test,42.00
1491,control,25.50
1492,test,108.00
1493,control,35.00
1494,test,54.00
1495,control,30.00
1496,test,69.00
1497,control,53.00
1498,test,44.00
1499,control,56.00
1500,test,103.00
1501,control,35.50
1502,test,78.50
1503,control,49.00
1504,test,69.00
1505,control,23.50
1506,test,84.00
1507,control,55.50
1508,test,51.00
1509,control,82.50
1510,test,43.00
1511,control,26.00
1512,test,110.00
1513,control,35.50
1514,test,55.00
1515,control,30.50
1516,test,70.50
1517,control,54.00
1518,test,45.00
1519,control,57.00
1520,test,105.00
1521,control,36.00
1522,test,80.00
1523,control,50.00
1524,test,70.50
1525,control,24.00
1526,test,85.50
1527,control,56.50
1528,test,52.00
1529,control,84.00
1530,test,44.00
1531,control,26.50
1532,test,112.00
1533,control,36.00
1534,test,56.00
1535,control,31.00
1536,test,72.00
1537,control,55.00
1538,test,46.00
1539,control,58.00
1540,test,107.00
1541,control,36.50
1542,test,81.50
1543,control,51.00
1544,test,72.00
1545,control,24.50
1546,test,87.00
1547,control,57.50
1548,test,53.00
1549,control,85.50
1550,test,45.00
1551,control,27.00
1552,test,114.00
1553,control,36.50
1554,test,57.00
1555,control,31.50
1556,test,73.50
1557,control,56.00
1558,test,47.00
1559,control,59.00
1560,test,109.00
1561,control,37.00
1562,test,83.00
1563,control,52.00
1564,test,73.50
1565,control,25.00
1566,test,88.50
1567,control,58.50
1568,test,54.00
1569,control,87.00
1570,test,46.00
1571,control,27.50
1572,test,116.00
1573,control,37.00
1574,test,58.00
1575,control,32.00
1576,test,75.00
1577,control,57.00
1578,test,48.00
1579,control,60.00
1580,test,111.00
1581,control,37.50
1582,test,84.50
1583,control,53.00
1584,test,75.00
1585,control,25.50
1586,test,90.00
1587,control,59.50
1588,test,55.00
1589,control,88.50
1590,test,47.00
1591,control,28.00
1592,test,118.00
1593,control,37.50
1594,test,59.00
1595,control,32.50
1596,test,76.50
1597,control,58.00
1598,test,49.00
1599,control,61.00
1600,test,113.00
1601,control,38.00
1602,test,86.00
1603,control,54.00
1604,test,76.50
1605,control,26.00
1606,test,91.50
1607,control,60.50
1608,test,56.00
1609,control,90.00
1610,test,48.00
1611,control,28.50
1612,test,120.00
1613,control,38.00
1614,test,60.00
1615,control,33.00
1616,test,78.00
1617,control,59.00
1618,test,50.00
1619,control,62.00
1620,test,115.00
1621,control,38.50
1622,test,87.50
1623,control,55.00
1624,test,78.00
1625,control,26.50
1626,test,93.00
1627,control,61.50
1628,test,57.00
1629,control,91.50
1630,test,49.00
1631,control,29.00
1632,test,122.00
1633,control,38.50
1634,test,61.00
1635,control,33.50
1636,test,79.50
1637,control,60.00
1638,test,51.00
1639,control,63.00
1640,test,117.00
1641,control,39.00
1642,test,89.00
1643,control,56.00
1644,test,79.50
1645,control,27.00
1646,test,94.50
1647,control,62.50
1648,test,58.00
1649,control,93.00
1650,test,50.00
1651,control,29.50
1652,test,124.00
1653,control,39.00
1654,test,62.00
1655,control,34.00
1656,test,81.00
1657,control,61.00
1658,test,52.00
1659,control,64.00
1660,test,119.00
1661,control,39.50
1662,test,90.50
1663,control,57.00
1664,test,81.00
1665,control,27.50
1666,test,96.00
1667,control,63.50
1668,test,59.00
1669,control,94.50
1670,test,51.00
1671,control,30.00
1672,test,126.00
1673,control,39.50
1674,test,63.00
1675,control,34.50
1676,test,82.50
1677,control,62.00
1678,test,53.00
1679,control,65.00
1680,test,121.00
1681,control,40.00
1682,test,92.00
1683,control,58.00
1684,test,82.50
1685,control,28.00
1686,test,97.50
1687,control,64.50
1688,test,60.00
1689,control,96.00
1690,test,52.00
1691,control,30.50
1692,test,128.00
1693,control,40.00
1694,test,64.00
1695,control,35.00
1696,test,84.00
1697,control,63.00
1698,test,54.00
1699,control,66.00
1700,test,123.00
1701,control,40.50
1702,test,93.50
1703,control,59.00
1704,test,84.00
1705,control,28.50
1706,test,99.00
1707,control,65.50
1708,test,61.00
1709,control,97.50
1710,test,53.00
1711,control,31.00
1712,test,130.00
1713,control,40.50
1714,test,65.00
1715,control,35.50
1716,test,85.50
1717,control,64.00
1718,test,55.00
1719,control,67.00
1720,test,125.00
1721,control,41.00
1722,test,95.00
1723,control,60.00
1724,test,85.50
1725,control,29.00
1726,test,100.50
1727,control,66.50
1728,test,62.00
1729,control,99.00
1730,test,54.00
1731,control,31.50
1732,test,132.00
1733,control,41.00
1734,test,66.00
1735,control,36.00
1736,test,87.00
1737,control,65.00
1738,test,56.00
1739,control,68.00
1740,test,127.00
1741,control,41.50
1742,test,96.50
1743,control,61.00
1744,test,87.00
1745,control,29.50
1746,test,102.00
1747,control,67.50
1748,test,63.00
1749,control,100.50
1750,test,55.00
1751,control,32.00
1752,test,134.00
1753,control,41.50
1754,test,67.00
1755,control,36.50
1756,test,88.50
1757,control,66.00
1758,test,57.00
1759,control,69.00
1760,test,129.00
1761,control,42.00
1762,test,98.00
1763,control,62.00
1764,test,88.50
1765,control,30.00
1766,test,103.50
1767,control,68.50
1768,test,64.00
1769,control,102.00
1770,test,56.00
1771,control,32.50
1772,test,136.00
1773,control,42.00
1774,test,68.00
1775,control,37.00
1776,test,90.00
1777,control,67.00
1778,test,58.00
1779,control,70.00
1780,test,131.00
1781,control,42.50
1782,test,99.50
1783,control,63.00
1784,test,90.00
1785,control,30.50
1786,test,105.00
1787,control,69.50
1788,test,65.00
1789,control,103.50
1790,test,57.00
1791,control,33.00
1792,test,138.00
1793,control,42.50
1794,test,69.00
1795,control,37.50
1796,test,91.50
1797,control,68.00
1798,test,59.00
1799,control,71.00
1800,test,133.00
1801,control,43.00
1802,test,101.00
1803,control,64.00
1804,test,91.50
1805,control,31.00
1806,test,106.50
1807,control,70.50
1808,test,66.00
1809,control,105.00
1810,test,58.00
1811,control,33.50
1812,test,140.00
1813,control,43.00
1814,test,70.00
1815,control,38.00
1816,test,93.00
1817,control,69.00
1818,test,60.00
1819,control,72.00
1820,test,135.00
1821,control,43.50
1822,test,102.50
1823,control,65.00
1824,test,93.00
1825,control,31.50
1826,test,108.00
1827,control,71.50
1828,test,67.00
1829,control,106.50
1830,test,59.00
1831,control,34.00
1832,test,142.00
1833,control,43.50
1834,test,71.00
1835,control,38.50
1836,test,94.50
1837,control,70.00
1838,test,61.00
1839,control,73.00
1840,test,137.00
1841,control,44.00
1842,test,104.00
1843,control,66.00
1844,test,94.50
1845,control,32.00
1846,test,109.50
1847,control,72.50
1848,test,68.00
1849,control,108.00
1850,test,60.00
1851,control,34.50
1852,test,144.00
1853,control,44.00
1854,test,72.00
1855,control,39.00
1856,test,96.00
1857,control,71.00
1858,test,62.00
1859,control,74.00
1860,test,139.00
1861,control,44.50
1862,test,105.50
1863,control,67.00
1864,test,96.00
1865,control,32.50
1866,test,111.00
1867,control,73.50
1868,test,69.00
1869,control,109.50
1870,test,61.00
1871,control,35.00
1872,test,146.00
1873,control,44.50
1874,test,73.00
1875,control,39.50
1876,test,97.50
1877,control,72.00
1878,test,63.00
1879,control,75.00
1880,test,141.00
1881,control,45.00
1882,test,107.00
1883,control,68.00
1884,test,97.50
1885,control,33.00
1886,test,112.50
1887,control,74.50
1888,test,70.00
1889,control,111.00
1890,test,62.00
1891,control,35.50
1892,test,148.00
1893,control,45.00
1894,test,74.00
1895,control,40.00
1896,test,99.00
1897,control,73.00
1898,test,64.00
1899,control,76.00
1900,test,143.00
1901,control,45.50
1902,test,108.50
1903,control,69.00
1904,test,99.00
1905,control,33.50
1906,test,114.00
1907,control,75.50
1908,test,71.00
1909,control,112.50
1910,test,63.00
1911,control,36.00
1912,test,150.00
1913,control,45.50
1914,test,75.00
1915,control,40.50
1916,test,100.50
1917,control,74.00
1918,test,65.00
1919,control,77.00
1920,test,145.00
1921,control,46.00
1922,test,110.00
1923,control,70.00
1924,test,100.50
1925,control,34.00
1926,test,115.50
1927,control,76.50
1928,test,72.00
1929,control,114.00
1930,test,64.00
1931,control,36.50
1932,test,152.00
1933,control,46.00
1934,test,76.00
1935,control,41.00
1936,test,102.00
1937,control,75.00
1938,test,66.00
1939,control,78.00
1940,test,147.00
1941,control,46.50
1942,test,111.50
1943,control,71.00
1944,test,102.00
1945,control,34.50
1946,test,117.00
1947,control,77.50
1948,test,73.00
1949,control,115.50
1950,test,65.00
1951,control,37.00
1952,test,154.00
1953,control,46.50
1954,test,77.00
1955,control,41.50
1956,test,103.50
1957,control,76.00
1958,test,67.00
1959,control,79.00
1960,test,149.00
1961,control,47.00
1962,test,113.00
1963,control,72.00
1964,test,103.50
1965,control,35.00
1966,test,118.50
1967,control,78.50
1968,test,74.00
1969,control,117.00
1970,test,66.00
1971,control,37.50
1972,test,156.00
1973,control,47.00
1974,test,78.00
1975,control,42.00
1976,test,105.00
1977,control,77.00
1978,test,68.00
1979,control,80.00
1980,test,151.00
1981,control,47.50
1982,test,114.50
1983,control,73.00
1984,test,105.00
1985,control,35.50
1986,test,120.00
1987,control,79.50
1988,test,75.00
1989,control,118.50
1990,test,67.00
1991,control,38.00
1992,test,158.00
1993,control,47.50
1994,test,79.00
1995,control,42.50
1996,test,106.50
1997,control,78.00
1998,test,69.00
1999,control,81.00
2000,test,153.00
